Name,Address,Description,Rating,RatingText,NumReviews,HotelLink
NH Paris Gare de l'Est,"10e arr., Paris","10e arr., ParisIndiquer sur la carte2,2 km du centreProche du métro","Avec une note de 8,1",Très bien,1 398 expériences vécues,https://www.booking.com/hotel/fr/mercure-terminus-est.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
Citadines Austerlitz Paris,"13e arr., Paris","13e arr., ParisIndiquer sur la carte2,5 km du centreProche du métro","Avec une note de 8,2",Très bien,1 971 expériences vécues,https://www.booking.com/hotel/fr/citadines-aparthotel-austerlitz.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
citizenM Paris Gare de Lyon,"12e arr., Paris","12e arr., ParisIndiquer sur la carte2,1 km du centreProche du métro","Avec une note de 8,2",Très bien,10 207 expériences vécues,https://www.booking.com/hotel/fr/citizenm-paris-gare-de-lyon.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
Hotel de la Tour,"14e arr., Paris","14e arr., ParisIndiquer sur la carte2,7 km du centreProche du métro","Avec une note de 8,2",Très bien,736 expériences vécues,https://www.booking.com/hotel/fr/de-la-tour-paris.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
B&B HOTEL Paris Porte des Lilas,"19e arr., Paris","19e arr., ParisIndiquer sur la carte4,9 km du centreProche du métro","Avec une note de 7,8",Bien,14 514 expériences vécues,https://www.booking.com/hotel/fr/b-amp-b-porte-des-lilas.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
Best Western Hotel Opéra Drouot,"9e arr., Paris","9e arr., ParisIndiquer sur la carte1,9 km du centreProche du métro","Avec une note de 8,0",Très bien,1 677 expériences vécues,https://www.booking.com/hotel/fr/comfort-opera-drouot.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
Exe Panorama,"10e arr., Paris","10e arr., ParisIndiquer sur la carte2,2 km du centreProche du métro","Avec une note de 8,3",Très bien,1 980 expériences vécues,https://www.booking.com/hotel/fr/hotusapanorama.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
Hôtel Istria by Magna Arbor,"14e arr., Paris","14e arr., ParisIndiquer sur la carte2,4 km du centreProche du métro","Avec une note de 8,0",Très bien,2 087 expériences vécues,https://www.booking.com/hotel/fr/hotelistria.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
ibis Paris Bercy Village,"12e arr., Paris","12e arr., ParisIndiquer sur la carte3,7 km du centreProche du métro","Avec une note de 8,1",Très bien,4 415 expériences vécues,https://www.booking.com/hotel/fr/ibis-paris-bercy-village.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
Appart'City Classic Paris La Villette,"19e arr., Paris","19e arr., ParisIndiquer sur la carte4,2 km du centreProche du métro","Avec une note de 7,5",Bien,2 969 expériences vécues,https://www.booking.com/hotel/fr/appart-city-cap-affaires-paris.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBDbgBB8gBDNgBAegBAfgBA4gCAagCA7gC2oimuwbAAgHSAiRiZjI2NmM4Ni1jYWIwLTRiZWUtOTdmZi05ZTRkZmUzZDBlMGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=SustainablePropertyLevelFilter%3D4&srpvid=6f0a6e2d246a0146&srepoch=1734968414&from_sustainable_property_sr=1&from=searchresults
